Mã Bệnh,Tên Bệnh,Chuyên Khoa,Mô Tả,Nguyên Nhân,Triệu Chứng Phổ Biến,Phương Pháp Chẩn Đóan,Hướng Điều Trị
B075,Mề đay mạn tính,Da liễu - Miễn dịch,"Là tình trạng nổi các mảng sẩn phù, ngứa (ban mề đay) kéo dài hơn 6 tuần.","Thường là tự phát (không rõ nguyên nhân), một số do bệnh tự miễn.","Các nốt ban đỏ, phù, ngứa, di chuyển vị trí.","Khám lâm sàng, loại trừ các nguyên nhân khác.","Thuốc kháng histamin."
B076,Bệnh bạch biến,Da liễu - Miễn dịch,"Là bệnh gây mất sắc tố da, tạo thành các mảng da màu trắng.","Hệ miễn dịch tấn công và phá hủy các tế bào sản xuất sắc tố (melanocyte).","Các đốm, mảng da trắng trên cơ thể.","Khám da liễu, đèn Wood.","Thuốc bôi, quang trị liệu, phẫu thuật."
B077,Ung thư da hắc tố (Melanoma),Da liễu - Ung bướu,"Là loại ung thư da nguy hiểm nhất, phát triển từ các tế bào sản xuất sắc tố.","Tiếp xúc quá nhiều với tia UV từ ánh nắng mặt trời.","Nốt ruồi mới xuất hiện hoặc nốt ruồi cũ thay đổi về kích thước, hình dạng, màu sắc.","Sinh thiết da.","Phẫu thuật, liệu pháp miễn dịch, liệu pháp nhắm trúng đích."
B078,Viêm gan tự miễn,Tiêu hóa - Miễn dịch,"Là tình trạng hệ miễn dịch của cơ thể tấn công các tế bào gan, gây viêm và tổn thương gan.","Không rõ.","Mệt mỏi, vàng da, đau bụng, đau khớp.","Xét nghiệm máu (kháng thể, men gan), sinh thiết gan.","Thuốc ức chế miễn dịch (corticoid, azathioprine)."
B079,Bệnh Celiac,Tiêu hóa,"Một bệnh tự miễn dịch đường ruột do không dung nạp gluten.","Di truyền và tiêu thụ gluten.","Đau bụng, tiêu chảy, đầy hơi, sụt cân, thiếu máu.","Xét nghiệm máu, sinh thiết ruột non.","Chế độ ăn không gluten."
B080,U xơ tử cung,Phụ khoa,"Là những khối u lành tính phát triển trong thành cơ của tử cung.","Nội tiết tố (estrogen, progesterone), di truyền.","Rong kinh, đau bụng dưới, tiểu nhiều, táo bón.","Siêu âm phụ khoa.","Theo dõi, thuốc, phẫu thuật."
B081,Đau nửa đầu (Migraine),Thần kinh,"Là một loại đau đầu nguyên phát, đặc trưng bởi các cơn đau dữ dội, thường ở một bên đầu.","Di truyền, thay đổi hoạt động não bộ.","Đau đầu theo nhịp đập, buồn nôn, nôn, nhạy cảm với ánh sáng và âm thanh.","Chẩn đoán lâm sàng.","Thuốc cắt cơn, thuốc phòng ngừa."
B082,Viêm mũi dị ứng,Tai mũi họng - Miễn dịch,"Là phản ứng viêm của niêm mạc mũi khi tiếp xúc với các dị nguyên trong không khí.","Phấn hoa, bụi nhà, lông động vật.","Hắt hơi, sổ mũi, ngứa mũi, nghẹt mũi.","Test lẩy da.","Thuốc kháng histamin, thuốc xịt mũi corticoid."
B083,Cườm khô (Đục thủy tinh thể),Nhãn khoa,"Là tình trạng thủy tinh thể trong mắt trở nên mờ đục.","Lão hóa, tiểu đường, chấn thương.","Nhìn mờ, lóa mắt, nhìn đôi, màu sắc nhạt dần.","Khám mắt bằng đèn khe.","Phẫu thuật Phaco."
B084,Cườm nước (Glaucoma),Nhãn khoa,"Là một nhóm bệnh gây tổn thương dây thần kinh thị giác, dẫn đến mất thị lực không hồi phục.","Tăng áp lực trong mắt (nhãn áp).","Giai đoạn đầu không có triệu chứng, giai đoạn sau thu hẹp thị trường, nhìn mờ.","Đo nhãn áp, soi đáy mắt, đo thị trường.","Thuốc nhỏ mắt hạ nhãn áp, laser, phẫu thuật."
B085,Võng mạc tiểu đường,Nhãn khoa - Nội tiết,"Là biến chứng mắt của bệnh tiểu đường, gây tổn thương các mạch máu ở võng mạc.","Kiểm soát đường huyết kém.","Giai đoạn đầu không có triệu chứng, sau đó nhìn mờ, thấy các đốm đen, có thể mù lòa.","Soi đáy mắt, chụp mạch huỳnh quang.","Kiểm soát đường huyết, laser, tiêm nội nhãn."
B086,Thoái hóa điểm vàng do tuổi tác (AMD),Nhãn khoa,"Là bệnh gây tổn thương điểm vàng, vùng trung tâm của võng mạc, dẫn đến mất thị lực trung tâm.","Tuổi tác, hút thuốc, di truyền.","Nhìn mờ vùng trung tâm, nhìn đường thẳng thành lượn sóng.","Soi đáy mắt, chụp OCT.","Tiêm nội nhãn, vitamin, laser (thể ướt)."
B087,Hội chứng ống cổ tay,Cơ xương khớp - Thần kinh,"Là tình trạng dây thần kinh giữa bị chèn ép khi đi qua ống cổ tay.","Các chuyển động lặp đi lặp lại của cổ tay, viêm khớp.","Tê, đau, ngứa ran ở ngón cái, ngón trỏ, ngón giữa và nửa ngón đeo nhẫn.","Nghiệm pháp Tinel, Phalen, đo điện cơ.","Nẹp cổ tay, thuốc, tiêm corticoid, phẫu thuật."
B088,Viêm gân gót Achilles,Cơ xương khớp,"Là tình trạng viêm của gân Achilles, dải mô nối cơ bắp chân với xương gót.","Vận động quá mức, khởi động không kỹ.","Đau ở phía sau gót chân, đặc biệt vào buổi sáng hoặc sau khi vận động.","Khám lâm sàng, siêu âm.","Nghỉ ngơi, chườm đá, vật lý trị liệu."
B090,Bệnh giang mai,Da liễu - Truyền nhiễm,"Là bệnh lây truyền qua đường tình dục do xoắn khuẩn Treponema pallidum gây ra.","Quan hệ tình dục không an toàn.","Nhiều giai đoạn: săng giang mai, phát ban, giai đoạn tiềm ẩn, tổn thương tim, não.","Xét nghiệm máu (RPR, TPHA).","Kháng sinh Penicillin."
B091,Lậu,Da liễu - Truyền nhiễm,"Là bệnh lây truyền qua đường tình dục do vi khuẩn Neisseria gonorrhoeae gây ra.","Quan hệ tình dục không an toàn.","Nam: tiểu buốt, chảy mủ niệu đạo. Nữ: thường không có triệu chứng hoặc khí hư bất thường.","Nhuộm soi, cấy dịch tiết.","Kháng sinh."
B092,Nhiễm HPV và sùi mào gà,Da liễu - Phụ khoa - Nam khoa,"Là bệnh do virus u nhú ở người (HPV) gây ra các nốt sùi ở bộ phận sinh dục.","Quan hệ tình dục không an toàn.","Các nốt sùi mềm, màu da hoặc hồng, hình dạng giống mào gà hoặc súp lơ.","Chẩn đoán lâm sàng.","Đốt điện, laser, chấm thuốc, tiêm vắc xin phòng ngừa."
B093,Viêm niệu đạo,Nam khoa - Phụ khoa - Tiết niệu,"Là tình trạng viêm của niệu đạo, ống dẫn nước tiểu ra khỏi cơ thể.","Nhiễm khuẩn (lậu, chlamydia), không do nhiễm khuẩn.","Tiểu buốt, tiểu rắt, chảy dịch hoặc mủ từ niệu đạo.","Xét nghiệm dịch niệu đạo, nước tiểu.","Kháng sinh."
B094,Rối loạn cương dương,Nam khoa,"Là tình trạng không có khả năng đạt được hoặc duy trì sự cương cứng đủ để quan hệ tình dục.","Tâm lý, bệnh lý (tiểu đường, tim mạch), tác dụng phụ của thuốc.","Khó cương cứng, cương cứng không đủ lâu.","Khám lâm sàng, xét nghiệm nội tiết.","Tư vấn tâm lý, thuốc, thay đổi lối sống."
B095,Xuất tinh sớm,Nam khoa,"Là tình trạng xuất tinh xảy ra sớm hơn mong muốn, thường là trong vòng 1 phút sau khi thâm nhập.","Tâm lý, tăng nhạy cảm dương vật.","Xuất tinh không kiểm soát được.","Hỏi bệnh sử.","Bài tập hành vi, thuốc, kem gây tê tại chỗ."
B096,Vô sinh nam,Nam khoa - Hỗ trợ sinh sản,"Là tình trạng một cặp vợ chồng không thể có thai sau một năm quan hệ không dùng biện pháp tránh thai, do nguyên nhân từ người nam.","Bất thường tinh trùng (số lượng, chất lượng), tắc nghẽn, rối loạn nội tiết.","Không có thai.","Tinh dịch đồ.","Điều trị nội khoa, phẫu thuật, các kỹ thuật hỗ trợ sinh sản (IUI, IVF)."
B097,Vô sinh nữ,Phụ khoa - Hỗ trợ sinh sản,"Là tình trạng không thể có thai do nguyên nhân từ người nữ.","Rối loạn rụng trứng, tắc vòi trứng, bệnh lý tử cung, lạc nội mạc tử cung.","Không có thai, kinh nguyệt không đều.","Siêu âm, xét nghiệm nội tiết, chụp HSG.","Kích thích rụng trứng, phẫu thuật, IUI, IVF."
B098,Tiền sản giật,Sản khoa,"Là một biến chứng thai kỳ nghiêm trọng, đặc trưng bởi tăng huyết áp và protein trong nước tiểu sau tuần 20.","Không rõ, liên quan đến bất thường của nhau thai.","Tăng huyết áp, phù, đau đầu, thay đổi thị lực.","Đo huyết áp, xét nghiệm nước tiểu.","Theo dõi chặt chẽ, thuốc hạ áp, chấm dứt thai kỳ là cách điều trị triệt để."
B099,Tiểu đường thai kỳ,Sản khoa - Nội tiết,"Là tình trạng rối loạn dung nạp glucose được phát hiện lần đầu trong khi mang thai.","Thay đổi nội tiết tố trong thai kỳ gây kháng insulin.","Thường không có triệu chứng, được phát hiện qua sàng lọc.","Nghiệm pháp dung nạp glucose đường uống.","Kiểm soát chế độ ăn, tập thể dục, có thể cần dùng insulin."
B100,Trĩ,Ngoại khoa - Tiêu hóa,"Là tình trạng sưng và viêm các tĩnh mạch ở vùng hậu môn và trực tràng dưới.","Táo bón mạn tính, rặn nhiều, mang thai, ngồi lâu.","Chảy máu khi đi tiêu, sa búi trĩ, đau, ngứa hậu môn.","Thăm khám hậu môn - trực tràng.","Thay đổi lối sống, thuốc bôi, thắt búi trĩ, phẫu thuật."
